csu_1_ssh_Gaps,csu_2_ssh_Gaps,csu_3_ssh_Gaps,csu_4_ssh_Gaps,csu_5_ssh_Gaps,csu_6_ssh_Gaps,csu_7_ssh_Gaps,csu_8_ssh_Gaps,csu_9_ssh_Gaps,csu_10_ssh_Gaps,csu_11_ssh_Gaps,csu_12_ssh_Gaps,csu_13_ssh_Gaps,csu_14_ssh_Gaps,csu_15_ssh_Gaps,csu_16_ssh_Gaps,csu_17_ssh_Gaps,csu_18_ssh_Gaps,csu_19_ssh_Gaps,csu_20_ssh_Gaps
0.044706,0.043273,0.04478,0.044849,0.044914,0.045198,0.043435,0.043186,0.043282,0.043347,0.043224,0.019819,0.044734,0.044724,0.04491,0.045088,0.043243,0.043281,0.001444,0.044661
0.045881,0.044202,0.045692,0.045853,0.045784,0.045997,0.044063,0.044426,0.044898,0.044148,0.044787,0.043402,0.04548,0.045488,0.045851,0.045552,0.044521,0.044385,0.044681,0.04563
0.046019,0.044541,0.045764,0.046192,0.046571,0.046186,0.044288,0.044679,0.045194,0.044725,0.045006,0.04432,0.045591,0.046236,0.04644,0.046189,0.044665,0.04446,0.045458,0.045688
0.046608,0.044948,0.046639,0.046554,0.04678,0.046228,0.04517,0.045155,0.045707,0.046444,0.045238,0.045187,0.046389,0.04629,0.04649,0.046203,0.044717,0.044906,0.045905,0.046634
0.646023,0.359478,0.487105,0.291396,0.479081,0.603642,0.22407,0.300837,0.490771,0.4057,0.375664,0.045415,0.310802,0.097181,0.333266,0.368304,0.069296,0.373774,0.397791,0.511672
0.69031,0.558039,0.518652,0.452115,0.526644,0.674896,0.299765,0.375443,0.558532,0.437902,0.411059,0.551252,0.44852,0.42763,0.730197,0.561759,0.073029,0.542574,0.554186,0.520263
0.71192,0.57825,0.547895,0.459452,0.545928,0.708578,0.393351,0.395622,0.584348,0.49842,0.477633,0.553347,0.485697,0.534262,0.802091,0.562731,0.190132,0.592298,0.558344,0.523077
0.785522,0.628247,0.621858,0.580795,0.580551,0.741915,0.561721,0.497204,0.587158,0.504942,0.512019,0.686482,0.512067,0.535497,0.817458,0.610482,0.354221,0.602385,0.559554,0.550562
0.826033,0.635843,0.622803,0.611098,0.607755,0.788846,0.581077,0.503866,0.632215,0.538282,0.567817,0.689922,0.563019,0.545265,0.834793,0.629624,0.458841,0.618328,0.580278,0.590574
0.82689,0.647741,0.662357,0.615834,0.649068,0.806242,0.584073,0.595333,0.635992,0.590875,0.576032,0.72399,0.577698,0.563988,0.838724,0.647857,0.47326,0.652458,0.581534,0.651244
0.842303,0.655012,0.665869,0.630604,0.685053,0.809912,0.592902,0.597882,0.659295,0.654743,0.611763,0.734168,0.5932,0.57431,0.852226,0.655409,0.527271,0.659754,0.664365,0.654652
0.844426,0.676264,0.673053,0.651899,0.695866,0.81835,0.620654,0.603366,0.669675,0.665197,0.652485,0.764805,0.609477,0.624105,0.957301,0.673029,0.553862,0.661261,0.705853,0.660336
0.867864,0.722411,0.68018,0.718305,0.711676,0.821673,0.651974,0.607877,0.722787,0.669644,0.655016,0.797565,0.654926,0.630665,1.125414,0.699402,0.613423,0.689705,0.723951,0.671515
0.980432,0.744596,0.722947,0.741664,0.776607,0.839762,0.662357,0.645227,0.763745,0.702115,0.704299,0.850906,0.708231,0.646219,1.156737,0.751949,0.637207,0.690213,0.73406,0.697807
1.019797,0.778013,0.727803,0.742129,0.77753,0.851713,0.675515,0.692768,0.775027,0.71187,0.716618,0.854632,0.713333,0.64654,1.280607,0.773638,0.660384,0.694108,0.819897,0.699586
1.027848,0.785572,0.800176,0.755676,0.777873,0.94063,0.710635,0.720098,0.787464,0.752595,0.719147,0.861632,0.733979,0.689083,1.320023,0.780044,0.690476,0.816048,0.827214,0.731116
1.098244,0.813588,0.804317,0.757605,0.786787,0.966211,0.725469,0.734048,0.791685,0.755885,0.721729,0.916487,0.753279,0.726554,1.348344,0.782526,0.749397,0.834904,0.876266,0.783594
1.219725,0.822014,0.813989,0.804345,0.790446,1.014026,0.767384,0.742918,0.806134,0.789319,0.722686,0.927582,0.763835,0.736664,1.356155,0.81366,0.770858,0.948316,0.882626,0.822876
1.365326,0.836014,0.814983,0.841884,0.902704,1.021477,0.772507,0.745698,0.812188,0.80389,0.743437,0.94136,0.773896,0.740948,1.454059,0.84928,0.772851,0.948342,0.896467,0.831558
1.383269,0.849449,0.834984,0.850247,0.903533,1.021873,0.775513,0.832333,0.831163,0.835892,0.748343,0.95618,0.790868,0.863746,1.637712,0.922918,0.781989,0.966382,0.929453,0.931187
1.543734,0.882747,0.867957,0.867901,0.923084,1.023421,0.847292,0.871244,0.893432,0.849614,0.814171,1.002267,0.798037,0.874393,1.84366,0.941017,0.782103,1.11697,0.954828,1.028085
1.569399,1.036753,0.904304,0.896029,0.995654,1.028131,0.964174,0.956204,0.905524,0.92185,0.853911,1.032931,0.857411,0.881706,1.845108,0.975826,0.79754,1.145458,0.968067,1.038562
1.595526,1.139708,0.933257,0.896531,1.004121,1.038876,0.99037,0.971639,0.910991,0.993739,0.853929,1.085588,0.884198,0.970916,1.901883,0.996972,0.80639,1.16238,0.976285,1.068383
1.639867,1.147392,0.972562,1.048624,1.026178,1.072461,1.114878,1.05158,0.943119,1.003155,0.89915,1.09996,0.887233,0.975869,1.904443,1.031204,0.820813,1.220336,0.987997,1.111221
1.679902,1.245279,0.99276,1.055341,1.073703,1.124453,1.126044,1.110524,0.984958,1.01353,0.920265,1.153709,0.962069,1.020751,1.93844,1.08996,0.905397,1.240029,1.02481,1.237665
1.721025,1.299293,1.098555,1.067565,1.112349,1.304007,1.128963,1.123702,1.02801,1.02055,0.935303,1.264705,1.117909,1.075614,2.092132,1.111672,0.906296,1.34071,1.029038,1.313879
1.792145,1.309166,1.172538,1.18868,1.183585,1.337989,1.176338,1.230319,1.244451,1.131021,1.06978,1.285743,1.137985,1.115432,2.100822,1.115355,0.972765,1.364737,1.056625,1.348333
1.792643,1.334146,1.234149,1.210195,1.277278,1.353831,1.329318,1.238255,1.432776,1.133559,1.101514,1.291309,1.185195,1.257367,2.125647,1.229922,1.005946,1.531849,1.063033,1.374559
1.807378,1.403776,1.298762,1.286986,1.358209,1.506453,1.346151,1.303917,1.457716,1.204477,1.341755,1.328191,1.225054,1.285731,2.178665,1.232742,1.293368,1.534875,1.142697,1.378234
1.918017,1.661688,1.514898,1.496479,1.69892,1.613221,1.572314,1.407148,1.463942,1.534011,1.61361,1.401883,1.237796,1.84585,2.404181,1.25198,1.498182,1.686474,1.206806,1.545689
2.173353,1.788601,1.541094,1.573852,1.853161,1.646088,1.612709,1.510412,1.536589,1.737564,1.636277,1.545877,1.396949,2.055946,2.542931,1.262227,1.603445,1.840181,1.259835,1.660655
2.533828,1.949443,1.583656,1.800925,1.928784,1.733674,1.633549,1.998597,1.773762,1.826015,1.669407,1.63469,3.510977,2.141807,2.764484,1.322379,1.781556,1.917216,1.493587,1.713236
2.552606,2.044626,2.142478,2.455256,1.972203,1.944647,1.91786,2.146894,1.855632,1.855688,2.116279,1.734807,,2.44628,3.453394,1.399903,1.802421,2.082412,1.546162,1.901314
3.57746,2.05103,2.190157,2.9649,2.371695,2.022524,2.171014,2.392601,2.362102,1.871308,3.152639,3.003091,,3.296516,3.660205,1.570007,1.834616,3.603136,1.70739,1.926978
3.807257,2.322569,3.502672,3.280707,2.721439,2.165819,2.688249,2.717934,2.676032,2.108197,4.296865,3.701158,,3.758037,,1.92779,1.84807,,1.854955,3.390774
,2.816227,,,3.291434,,,3.570339,,,,,,,,2.435031,1.984176,,,
,,,,,,,,,,,,,,,,2.042937,,,
,,,,,,,,,,,,,,,,2.49055,,,
