csu_1_ssh_Gaps,csu_2_ssh_Gaps,csu_3_ssh_Gaps,csu_4_ssh_Gaps,csu_5_ssh_Gaps,csu_6_ssh_Gaps,csu_7_ssh_Gaps,csu_8_ssh_Gaps,csu_9_ssh_Gaps,csu_10_ssh_Gaps,csu_11_ssh_Gaps,csu_12_ssh_Gaps,csu_13_ssh_Gaps,csu_14_ssh_Gaps,csu_15_ssh_Gaps,csu_16_ssh_Gaps,csu_17_ssh_Gaps,csu_18_ssh_Gaps,csu_19_ssh_Gaps,csu_20_ssh_Gaps
1.70E-05,0.051401,0.000444,0.000536,1.80E-05,1.30E-05,1.10E-05,0.000739,0.050535,0.051082,0.05178,0.051738,0.050444,0.052185,0.051194,0.050581,0.050432,0.050748,0.050383,0.050863
0.050484,0.051532,0.05105,0.050742,0.051535,0.050452,0.051228,0.050696,0.051658,0.051545,0.052073,0.051757,0.051261,0.052584,0.051873,0.050813,0.051892,0.051299,0.05121,0.05112
0.052231,0.053828,0.051741,0.05132,0.053225,0.05207,0.05176,0.051847,0.051852,0.051786,0.055899,0.054828,0.051703,0.054196,0.051894,0.050893,0.051952,0.051831,0.053925,0.051613
0.499198,0.254285,0.157898,0.179089,0.191964,0.090788,0.102275,0.181712,0.126682,0.227986,0.157262,0.126568,0.17161,0.107606,0.104617,0.052848,0.052628,0.051958,0.05559,0.052161
0.51274,0.309787,0.205181,0.181657,0.213921,0.133815,0.161463,0.247585,0.19485,0.258541,0.183706,0.241064,0.295224,0.239592,0.121718,0.156924,0.116529,0.15378,0.236295,0.285633
0.519087,0.374145,0.242819,0.230184,0.251676,0.144635,0.165774,0.262123,0.196052,0.338545,0.213822,0.259654,0.328798,0.262495,0.151503,0.166162,0.137993,0.209612,0.246997,0.371254
0.526098,0.374326,0.293878,0.235101,0.267137,0.181792,0.220382,0.274315,0.204015,0.373864,0.287162,0.282945,0.366038,0.277013,0.207543,0.272717,0.178584,0.2896,0.258643,0.38469
0.582715,0.40633,0.317813,0.236124,0.281512,0.18729,0.254766,0.340092,0.287436,0.373944,0.319766,0.309834,0.373469,0.313382,0.224057,0.274757,0.201468,0.390333,0.362349,0.440419
0.596047,0.427956,0.345626,0.278245,0.342572,0.195645,0.261996,0.359911,0.305515,0.383819,0.398358,0.338963,0.462205,0.333216,0.228345,0.287787,0.304723,0.427798,0.391276,0.501739
0.597958,0.438291,0.351059,0.319407,0.397991,0.205149,0.285648,0.36392,0.363298,0.430282,0.420883,0.349946,0.478499,0.334,0.255055,0.347952,0.323942,0.430675,0.424977,0.518717
0.614177,0.439474,0.366013,0.351195,0.419434,0.247887,0.290549,0.411519,0.397263,0.440248,0.423457,0.372464,0.487342,0.348269,0.265512,0.374215,0.391584,0.438196,0.454091,0.532561
0.63038,0.486445,0.374163,0.358246,0.44218,0.283433,0.307962,0.4165,0.428706,0.442416,0.434602,0.388245,0.493698,0.374026,0.349329,0.382998,0.464162,0.507385,0.479744,0.535302
0.678217,0.499842,0.437258,0.366221,0.454596,0.363316,0.335148,0.440689,0.430578,0.461486,0.447376,0.469149,0.502071,0.379273,0.381646,0.541498,0.48531,0.509737,0.517221,0.551595
0.700566,0.526419,0.453168,0.400083,0.46203,0.406451,0.342404,0.470425,0.441782,0.495268,0.487221,0.510474,0.503128,0.422308,0.38957,0.581791,0.511805,0.545068,0.574073,0.573848
0.702455,0.587286,0.48545,0.421467,0.465776,0.415987,0.422326,0.511973,0.470311,0.513815,0.487902,0.532903,0.528146,0.438809,0.394822,0.638,0.526044,0.54707,0.606105,0.605785
0.706278,0.667026,0.496467,0.439064,0.474939,0.429909,0.459537,0.517304,0.537371,0.550985,0.488407,0.543895,0.550352,0.460359,0.445848,0.693688,0.536808,0.557915,0.622594,0.615793
0.742005,0.66894,0.589701,0.448034,0.478453,0.43409,0.49383,0.543653,0.597623,0.605741,0.499061,0.575783,0.580718,0.511435,0.453919,0.709473,0.586321,0.606048,0.69422,0.682332
0.748087,0.678161,0.595456,0.479891,0.482727,0.453943,0.494616,0.552243,0.599614,0.682999,0.531192,0.57897,0.588687,0.518053,0.508117,0.710114,0.604648,0.614545,0.770809,0.751079
1.013394,0.707388,0.62221,0.512149,0.533557,0.493248,0.504661,0.574326,0.604584,0.790268,0.534671,0.591985,0.590121,0.552955,0.513759,0.712105,0.619759,0.649087,0.822815,0.768264
1.047605,0.797369,0.630615,0.517587,0.557703,0.533959,0.541904,0.602469,0.686087,0.822027,0.562147,0.605447,0.663384,0.557332,0.533642,0.725978,0.686922,0.66526,0.852694,0.782223
1.203566,0.798098,0.661784,0.54165,0.559628,0.573393,0.554347,0.606488,0.709496,0.8954,0.574626,0.613596,0.674488,0.59767,0.541768,0.740049,0.791247,0.699701,0.880673,0.798553
1.214834,0.871523,0.665228,0.565491,0.623899,0.582296,0.599922,0.634432,0.72495,0.957952,0.626772,0.629537,0.688644,0.647719,0.662518,0.743681,0.807874,0.71031,0.889479,0.91383
1.236662,0.991601,0.699702,0.598885,0.653884,0.622187,0.678937,0.63752,0.777485,1.052777,0.731643,0.654088,0.703099,0.748847,0.957819,0.795617,0.881717,0.724709,0.902221,0.933388
1.239041,1.011024,0.755742,0.653499,0.694181,0.758149,0.758745,0.670428,0.873293,1.151452,0.733884,0.724695,0.73056,0.761235,1.022836,0.798374,0.915706,0.742513,0.925206,0.943438
1.28611,1.030514,0.757986,0.892244,0.762478,0.774024,0.936357,0.841021,1.061892,1.157902,0.804633,0.808361,0.765449,0.854433,1.047576,0.808332,0.997238,0.755157,0.949721,0.951576
1.325158,1.133983,0.782018,0.950339,0.816852,0.847604,0.942342,0.968316,1.117608,1.196194,0.835405,0.906551,0.947318,1.053612,1.080143,0.822052,1.010212,0.781651,1.110572,1.023163
1.357271,1.189642,0.805712,0.989809,0.830091,0.860328,1.04459,1.031376,1.174316,1.206486,0.949813,0.924842,0.97118,1.061679,1.182634,0.889039,1.103647,0.790215,1.206704,1.036504
1.389168,1.217925,0.848341,1.054621,0.832624,0.900361,1.095105,1.048656,1.271075,1.261689,1.006112,0.927718,1.137579,1.11,1.257132,0.930518,1.126973,0.797501,1.261985,1.036756
1.415379,1.340035,0.851453,1.125536,0.844512,1.007677,1.109284,1.094382,1.312722,1.387624,1.171225,1.125937,1.203661,1.182357,1.297673,0.957219,1.140519,0.853994,1.329356,1.039541
1.550385,1.417039,0.890285,1.142252,0.874092,1.089257,1.127491,1.13404,1.360942,1.557715,1.188863,1.196329,1.349246,1.430165,1.476021,1.024308,1.197757,0.893794,1.405558,1.07545
1.72346,1.444723,0.934831,1.256247,0.972921,1.207225,1.165888,1.241291,1.398435,1.630165,1.245078,1.197176,1.455053,1.558637,1.520076,1.295414,1.368072,0.894228,1.467676,1.07845
1.806538,1.655574,1.182797,1.400163,0.998049,1.207639,1.214139,1.301284,1.470112,1.661435,1.246097,1.301475,1.483118,1.615525,1.654197,1.397991,1.408351,1.168271,1.503035,1.117875
1.831683,1.964036,1.396686,1.504822,1.084451,1.30439,1.558003,1.317803,1.935658,1.812088,2.16652,1.807292,1.836572,1.949758,1.744216,1.417998,1.542516,1.442317,2.197938,1.133926
2.426739,2.042886,1.544349,1.724632,1.095897,1.630169,1.902451,1.480791,2.022084,2.658972,,1.974227,2.270501,2.306275,,1.463091,1.979512,1.581367,2.230236,1.689112
2.446631,2.419394,1.622078,2.103425,1.166282,1.709683,1.916591,1.757883,,,,2.404823,,,,1.639341,2.110187,1.629584,,1.734338
2.470825,3.014298,2.230743,,1.174959,2.047695,2.078021,1.940358,,,,,,,,1.906799,,1.947636,,
,,2.934695,,1.667363,2.366095,,2.042746,,,,,,,,2.314408,,,,
,,,,1.858111,,,,,,,,,,,,,,,
